"","name","wikitag","party","voteshare","legperiod","nsdap.membership"
"117","Karl Gaul","/wiki/Karl_Gaul","FDP","29,8",1,0
"118","Karl Gengler","/wiki/Karl_Gengler","CDU","50,5",1,0
"119","Robert Geritzmann","/wiki/Robert_Geritzmann","SPD","36,5",1,0
"120","Heinrich Gerns","/wiki/Heinrich_Gerns","CDU","46,7",1,0
"121","Eugen Gerstenmaier","/wiki/Eugen_Gerstenmaier","CDU","30,5",1,0
"122","Paul Gibbert","/wiki/Paul_Gibbert","CDU","66,6",1,0
"123","Christian Giencke","/wiki/Christian_Giencke","CDU","31,1",1,0
"124","Heinrich Glasmeyer","/wiki/Heinrich_Glasmeyer","Zentrum",NA,1,0
"125","Alfred Gleisner","/wiki/Alfred_Gleisner","SPD","42,5",1,0
"126","Hermann Glüsing","/wiki/Hermann_Gl%C3%BCsing","CDU","32,7",1,1
"127","Josef Gockeln","/wiki/Josef_Gockeln","CDU","37,2",1,0
"128","Robert Görlinger","/wiki/Robert_G%C3%B6rlinger","SPD",NA,1,0
"129","Günter Goetzendorff","/wiki/G%C3%BCnter_Goetzendorff","WAV",NA,1,0
"130","Hubertus von Golitschek","/wiki/Hubertus_von_Golitschek","FDP",NA,1,0
"131","Hermann Götz","/wiki/Hermann_G%C3%B6tz_(Politiker,_1914)","CDU",NA,1,0
"132","Otto Graf","/wiki/Otto_Graf_(Politiker,_1892)","SPD","27,1",1,0
"133","Otto Heinrich Greve","/wiki/Otto_Heinrich_Greve","SPD","35,7",1,0
"134","Margarete Gröwel","/wiki/Margarete_Gr%C3%B6wel","CDU","41,8",1,0
"135","Arthur Grundmann","/wiki/Arthur_Grundmann","FDP",NA,1,0
"136","Wilhelm Gülich","/wiki/Wilhelm_G%C3%BClich","SPD","28,6",1,0
"137","Bernhard Günther","/wiki/Bernhard_G%C3%BCnther_(Politiker)","CDU","61,5",1,0
"138","Gustav Gundelach","/wiki/Gustav_Gundelach","KPD",NA,1,0
"139","Johannes Hagge","/wiki/Johannes_Hagge","CDU","28,3",1,0
"140","Wilhelm Hamacher","/wiki/Wilhelm_Hamacher","Zentrum",NA,1,0
"141","Richard Hammer","/wiki/Richard_Hammer_(Politiker)","FDP","36,8",1,0
"142","Johannes Handschumacher","/wiki/Johannes_Handschumacher","CDU",NA,1,0
"143","Heinrich Happe","/wiki/Heinrich_Happe_(Politiker,_1894)","SPD",NA,1,0
"144","Paul Harig","/wiki/Paul_Harig","KPD",NA,1,0
"145","Walther Hasemann","/wiki/Walther_Hasemann","FDP",NA,1,0
"146","Wolfgang Hedler","/wiki/Wolfgang_Hedler","DP",NA,1,0
"147","Rudolf-Ernst Heiland","/wiki/Rudolf-Ernst_Heiland","SPD",NA,1,0
"148","Anne Marie Heiler","/wiki/Anne_Marie_Heiler","CDU",NA,1,0
"149","Franz Heinen","/wiki/Franz_Heinen_(Politiker)","SPD",NA,1,0
"150","Martin Heix","/wiki/Martin_Heix","CDU","29,0",1,0
"151","Heinrich Hellwege","/wiki/Heinrich_Hellwege","DP","40,4",1,0
"152","Günther Henle","/wiki/G%C3%BCnther_Henle","CDU","34,8",1,0
"153","Hans Henn","/wiki/Hans_Henn_(Politiker)","FDP",NA,1,0
"154","Arno Hennig","/wiki/Arno_Hennig","SPD","31,6",1,0
"155","Fritz Henßler","/wiki/Fritz_Hen%C3%9Fler","SPD","43,4",1,0
"156","Gustav Herbig","/wiki/Gustav_Herbig_(Politiker)","SPD",NA,1,0
"157","Matthäus Herrmann","/wiki/Matth%C3%A4us_Herrmann","SPD","39,7",1,0
"158","Theodor Heuss","/wiki/Theodor_Heuss","FDP",NA,1,0
"159","Anton Hilbert","/wiki/Anton_Hilbert","CDU","54,6",1,0
"160","Werner Hilpert","/wiki/Werner_Hilpert","CDU",NA,1,0
"161","Heinrich Höcker","/wiki/Heinrich_H%C3%B6cker","SPD","45,9",1,0
"162","Johannes Hoffmann","/wiki/Johannes_Hoffmann_(Politiker,_1889)","Zentrum",NA,1,0
"163","Curt Hoffmann","/wiki/Curt_Hoffmann_(Politiker)","FDP",NA,1,0
"164","Karl Hoffmann","/wiki/Karl_Hoffmann_(Politiker,_1901)","FDP",NA,1,0
"165","Heinrich Höfler","/wiki/Heinrich_H%C3%B6fler","CDU","52,8",1,0
"166","Franz Höhne","/wiki/Franz_H%C3%B6hne_(Politiker)","SPD",NA,1,0
"167","Heinrich Hohl","/wiki/Heinrich_Hohl","CDU",NA,1,0
"168","Friedrich Holzapfel","/wiki/Friedrich_Holzapfel","CDU","40,3",1,0
"169","Matthias Hoogen","/wiki/Matthias_Hoogen","CDU","43,5",1,0
"170","Hermann Höpker-Aschoff","/wiki/Hermann_H%C3%B6pker-Aschoff","FDP",NA,1,0
"171","Anton Hoppe","/wiki/Anton_Hoppe_(Politiker)","CDU","38,1",1,0
"172","Michael Horlacher","/wiki/Michael_Horlacher","CSU","34,9",1,0
"173","Peter Horn","/wiki/Peter_Horn_(Politiker)","CDU",NA,1,0
"174","Elinor Hubert","/wiki/Elinor_Hubert","SPD","43,4",1,0
"175","Karl Hübner","/wiki/Karl_H%C3%BCbner_(Politiker)","FDP",NA,1,0
"176","Eugen Huth","/wiki/Eugen_Huth","CDU","37,5",1,0
"177","Margarete Hütter","/wiki/Margarete_H%C3%BCtter","FDP",NA,1,1
"178","Herta Ilk","/wiki/Herta_Ilk","FDP",NA,1,0
"179","Heinrich Imig","/wiki/Heinrich_Imig","SPD","41,7",1,0
"180","Werner Jacobi","/wiki/Werner_Jacobi_(Politiker,_1907)","SPD",NA,1,0
"181","Peter Jacobs","/wiki/Peter_Jacobs_(Politiker)","SPD",NA,1,0
"182","Elfriede Jaeger","/wiki/Elfriede_Jaeger","DKP-DRP",NA,1,0
"183","Paul Hans Jaeger","/wiki/Paul_Hans_Jaeger","FDP",NA,1,0
"184","Richard Jaeger","/wiki/Richard_Jaeger","CSU","27,1",1,0
"185","Robert Jaffé","/wiki/Robert_Jaff%C3%A9_(Politiker)","DP",NA,1,0
"186","Hans Jahn","/wiki/Hans_Jahn_(Politiker)","SPD","45,9",1,0
"187","Albert Ludwig Juncker","/wiki/Albert_Ludwig_Juncker","FDP",NA,1,0
"188","Johann Junglas","/wiki/Johann_Junglas","CDU","67,9",1,0
"189","Karl Kahn","/wiki/Karl_Kahn","CSU","37,0",1,0
"190","Jakob Kaiser","/wiki/Jakob_Kaiser","CDU","32,4",1,0
"191","Oskar Kalbfell","/wiki/Oskar_Kalbfell","SPD","33,3",1,0
